imo,ship_name,type,issue,expiry,technical_efficiency_number
9729180,COTSWOLD,Bulk carrier,2019-04-30,2020-06-30,2.51
9730098,HATTERAS,Oil tanker,2019-11-03,2020-06-30,2.33
9730335,PANAGIA THALASSINI,Chemical tanker,2019-01-05,2020-06-30,3.95
9730452,SSI FORMIDABLE,Bulk carrier,2019-06-18,2020-06-30,3.79
9731377,CHIPOLBROK ATLANTIC,General cargo ship,2019-04-28,2020-06-30,7.0
9731432,STAR VIRGO,Bulk carrier,2019-09-05,2020-06-30,2.32
9731535,AMIS GLORY,Bulk carrier,2019-04-23,2020-06-30,4.19
9731729,NAVIG8 SIRIUS,Chemical tanker,2019-04-26,2020-06-30,6.05
9731781,NAVIG8 SAIPH,Chemical tanker,2019-04-30,2020-06-30,6.04
9731793,NAVIG8 SCEPTRUM,Chemical tanker,2019-04-29,2020-06-30,5.9
9732151,FEDERAL CRIMSON,Bulk carrier,2019-09-04,2020-06-30,4.27
9732931,MAERSK TRIESTE,Oil tanker,2019-06-26,2020-06-30,4.01
9732943,TR OMAHA,Bulk carrier,2019-04-24,2020-06-30,3.92
9733337,BW FRIGG,Gas carrier,2019-04-29,2020-06-30,5.8
9733674,BUCCOO REEF,Chemical tanker,2019-09-04,2020-06-30,5.75
9733686,GRANDE RIVIERE,Chemical tanker,2019-05-04,2020-06-30,5.81
9733818,ERBIL,Oil tanker,2019-04-25,2020-06-30,2.16
9734173,CHIPOL TAIHU,General cargo ship,2019-04-27,2020-06-30,5.5
9734525,SANSOVINO,Gas carrier,2019-04-26,2020-06-30,5.93
9735646,STI EXCELLENCE,Oil tanker,2019-04-18,2020-06-30,3.83
9735842,BBG FOREVER,Bulk carrier,2019-05-28,2020-06-30,3.88
9736042,IVS SUNBIRD,Bulk carrier,2019-04-29,2020-06-30,5.41
9736286,QUEENA,Bulk carrier,2019-04-17,2020-06-30,3.13
9736640,GH SEABISCUIT,Bulk carrier,2019-04-25,2020-06-30,3.84
9736925,TRUE CONDOR,Bulk carrier,2019-04-23,2020-06-30,2.39
9737151,CHEMROAD QUEEN,Chemical tanker,2019-04-24,2020-06-30,5.02
9738375,TS INDEX,Bulk carrier,2019-04-22,2020-06-30,5.34
9738507,GREAT FORTUNE,Bulk carrier,2019-04-30,2020-06-30,3.84
9738753,AFRICAN BAZA,Bulk carrier,2019-05-21,2020-06-30,4.09
